index,dp_calls_NORMAL,literal_iteration_NORMAL,literal_search_NORMAL,dp_calls_PREPROCESS,literal_iteration_PREPROCESS,literal_search_PREPROCESS,dp_calls_PURE_LITERAL,literal_iteration_PURE_LITERAL,literal_search_PURE_LITERAL,dp_calls_PREPROCESS_+_PURE_LITERAL,literal_iteration_PREPROCESS_+_PURE_LITERAL,literal_search_PREPROCESS_+_PURE_LITERAL
88,4,12142,22120,4,12239,22090,4,13054,23196,4,13271,23290
89,4,12395,22626,4,12492,22596,4,13307,23702,4,13524,23796
90,5,12839,22828,5,12610,22824,5,14089,24295,5,13970,24417
91,6,12867,22650,6,12527,22654,6,14231,24254,6,13999,24382
92,6,12931,22778,6,12593,22786,6,14295,24382,6,14065,24514
93,5,12139,22102,5,12237,22076,5,13051,23183,5,13261,23283
94,4,12113,22088,4,12224,22058,4,13011,23150,4,13240,23242
95,6,12881,22774,6,12584,22766,6,14197,24326,6,14004,24434
96,6,12866,22744,6,12573,22744,6,14182,24296,6,13993,24410
97,4,12262,22360,4,12359,22330,4,13174,23436,4,13391,23530
98,6,12857,22726,6,12565,22728,6,14173,24278,6,13985,24394
99,6,12919,22754,6,12581,22762,6,14283,24358,6,14053,24490
100,4,12209,22280,4,12320,22250,4,13107,23340,4,13336,23434
101,5,12108,22040,5,12206,22014,5,13020,23121,5,13230,23221
102,4,12163,22188,4,12274,22158,4,13061,23248,4,13290,23342
103,6,12861,22734,6,12570,22738,6,14177,24286,6,13990,24406
104,6,12835,22682,6,12544,22686,6,14151,24234,6,13964,24354
105,6,12821,22558,6,12488,22576,6,14185,24162,6,13960,24304
106,6,12969,22854,6,12632,22864,6,14333,24458,6,14104,24592
107,5,12164,22152,5,12262,22126,5,13076,23233,5,13286,23333
108,4,11843,21642,4,12004,21612,4,12691,22634,4,12964,22738
109,6,12834,22584,6,12498,22596,6,14198,24188,6,13970,24324
110,4,12123,22108,4,12234,22078,4,13021,23168,4,13250,23262
111,6,12860,22636,6,12520,22640,6,14224,24240,6,13992,24368
112,5,12597,22506,5,12453,22510,5,13765,23883,5,13733,24015
113,6,12610,22420,6,12404,22408,6,13834,23868,6,13732,23962
114,6,12855,22722,6,12561,22720,6,14171,24274,6,13981,24388
115,4,11796,21548,4,11957,21518,4,12644,22540,4,12917,22644
116,5,12144,22112,5,12242,22086,5,13056,23193,5,13266,23293
117,6,12866,22744,6,12575,22748,6,14182,24296,6,13995,24416
118,6,12930,22872,6,12633,22864,6,14246,24424,6,14053,24532
119,4,12187,22236,4,12298,22206,4,13085,23298,4,13314,23390
120,5,12808,22766,5,12581,22766,5,14058,24233,5,13941,24359
121,6,12936,22884,6,12639,22876,6,14252,24436,6,14059,24544
122,6,12940,22796,6,12606,22812,6,14304,24400,6,14078,24540
123,6,12898,22712,6,12563,22726,6,14262,24316,6,14035,24454
124,4,12060,22066,4,12215,22036,4,12914,23068,4,13183,23172
125,6,12824,22660,6,12534,22666,6,14140,24212,6,13954,24334
126,5,11973,21770,5,12071,21744,5,12885,22851,5,13095,22951
127,4,12252,22340,4,12349,22310,4,13164,23416,4,13381,23510
128,6,12765,22730,6,12559,22718,6,13989,24176,6,13887,24272
129,6,12826,22664,6,12537,22672,6,14142,24216,6,13957,24338
130,4,12101,22064,4,12212,22034,4,12999,23124,4,13228,23218
131,5,12594,22500,5,12450,22504,5,13762,23877,5,13730,24009
132,4,12104,22164,4,12265,22134,4,12952,23156,4,13225,23260
133,4,12174,22210,4,12285,22180,4,13072,23272,4,13301,23364
134,5,12120,22064,5,12218,22038,5,13032,23145,5,13242,23245
135,4,12132,22220,4,12293,22190,4,12980,23212,4,13253,23316
136,6,12847,22706,6,12558,22714,6,14163,24258,6,13978,24380
137,4,12315,22466,4,12412,22436,4,13227,23542,4,13444,23636
138,6,12885,22782,6,12591,22780,6,14201,24334,6,14011,24446
139,4,12193,22248,4,12304,22218,4,13091,23308,4,13320,23402
140,4,12162,22186,4,12273,22156,4,13060,23246,4,13289,23340
141,4,11884,21724,4,12045,21694,4,12732,22716,4,13005,22820
142,6,12740,22680,6,12534,22668,6,13964,24128,6,13862,24222
143,5,12147,22118,5,12245,22092,5,13059,23199,5,13269,23299
144,6,12637,22474,6,12431,22462,6,13861,23922,6,13759,24016
145,4,12199,22344,4,12354,22314,4,13053,23346,4,13322,23450
146,6,12844,22888,6,12638,22876,6,14068,24334,6,13966,24430
147,4,12293,22422,4,12390,22392,4,13205,23498,4,13422,23592
