index,dp_calls_NORMAL,literal_iteration_NORMAL,literal_search_NORMAL,dp_calls_PREPROCESS,literal_iteration_PREPROCESS,literal_search_PREPROCESS,dp_calls_PURE_LITERAL,literal_iteration_PURE_LITERAL,literal_search_PURE_LITERAL,dp_calls_PREPROCESS_+_PURE_LITERAL,literal_iteration_PREPROCESS_+_PURE_LITERAL,literal_search_PREPROCESS_+_PURE_LITERAL
375,4,12190,22242,4,12301,22212,4,13088,23304,4,13317,23396
376,4,12215,22292,4,12326,22262,4,13113,23352,4,13342,23446
377,6,12887,22786,6,12590,22778,6,14203,24338,6,14010,24444
378,6,12883,22778,6,12592,22782,6,14199,24330,6,14012,24450
379,5,12662,22636,5,12518,22640,5,13830,24013,5,13798,24145
380,4,12103,22068,4,12214,22038,4,13001,23130,4,13230,23222
381,4,12334,22504,4,12431,22474,4,13246,23580,4,13463,23674
382,4,12191,22328,4,12346,22298,4,13045,23330,4,13314,23434
383,6,12802,22804,6,12596,22792,6,14026,24250,6,13924,24346
384,4,12226,22088,4,12240,22076,4,13230,23264,4,13344,23364
385,6,12735,22670,6,12529,22658,6,13959,24116,6,13857,24212
386,4,11790,21536,4,11951,21506,4,12638,22528,4,12911,22632
387,4,12130,22216,4,12291,22186,4,12978,23208,4,13251,23312
388,6,12695,22590,6,12489,22578,6,13919,24036,6,13817,24132
389,6,12868,22748,6,12576,22750,6,14184,24300,6,13996,24418
390,4,12306,22248,4,12320,22236,4,13310,23424,4,13424,23524
391,4,12223,22392,4,12378,22362,4,13077,23394,4,13346,23498
392,4,12153,22168,4,12264,22138,4,13051,23230,4,13280,23322
393,4,12167,22196,4,12278,22166,4,13065,23256,4,13294,23350
394,4,11868,21692,4,12029,21662,4,12716,22684,4,12989,22788
395,6,12849,22710,6,12557,22712,6,14165,24262,6,13977,24378
396,6,12799,22798,6,12593,22786,6,14023,24246,6,13921,24340
397,4,12281,22398,4,12378,22368,4,13193,23474,4,13410,23568
398,6,12809,22630,6,12515,22628,6,14125,24182,6,13935,24294
399,4,11886,21728,4,12047,21698,4,12734,22720,4,13007,22824
400,4,12258,22352,4,12355,22322,4,13170,23428,4,13387,23522
401,4,12132,22100,4,12229,22070,4,13044,23176,4,13261,23270
402,5,12577,22466,5,12433,22470,5,13745,23843,5,13713,23975
403,4,12189,22214,4,12286,22184,4,13101,23290,4,13318,23384
404,6,12893,22798,6,12600,22798,6,14209,24350,6,14020,24464
405,6,12820,22556,6,12486,22572,6,14184,24160,6,13958,24300
406,6,12785,22582,6,12496,22590,6,14101,24134,6,13916,24256
407,4,12111,22084,4,12222,22054,4,13009,23144,4,13238,23238
408,6,12624,22448,6,12418,22436,6,13848,23894,6,13746,23990
409,5,12118,22060,5,12216,22034,5,13030,23141,5,13240,23241
410,5,11988,21800,5,12086,21774,5,12900,22881,5,13110,22981
411,6,12764,22540,6,12475,22548,6,14080,24092,6,13895,24214
412,4,12147,22156,4,12258,22126,4,13045,23216,4,13274,23310
413,4,12320,22276,4,12334,22264,4,13324,23452,4,13438,23552
414,6,12869,22750,6,12578,22754,6,14185,24302,6,13998,24422
415,4,12130,22216,4,12291,22186,4,12978,23208,4,13251,23312
416,6,12647,22494,6,12441,22482,6,13871,23942,6,13769,24036
417,4,11943,21842,4,12104,21812,4,12791,22834,4,13064,22938
418,4,11867,21690,4,12028,21660,4,12715,22682,4,12988,22786
419,4,12159,22180,4,12270,22150,4,13057,23240,4,13286,23334
420,6,12818,22648,6,12525,22648,6,14134,24200,6,13945,24316
421,6,12741,22682,6,12535,22670,6,13965,24128,6,13863,24224
422,6,12859,22730,6,12565,22728,6,14175,24282,6,13985,24396
423,6,12866,22744,6,12575,22748,6,14182,24296,6,13995,24416
424,6,12835,22682,6,12541,22680,6,14151,24234,6,13961,24346
425,5,12145,22114,5,12243,22088,5,13057,23195,5,13267,23295
426,6,12842,22600,6,12508,22616,6,14206,24204,6,13980,24344
427,6,12857,22726,6,12564,22726,6,14173,24278,6,13984,24394
428,6,12943,22802,6,12609,22818,6,14307,24406,6,14081,24546
429,5,12743,22636,5,12512,22628,5,13993,24103,5,13872,24221
430,6,12853,22718,6,12560,22718,6,14169,24270,6,13980,24384
431,5,12824,22798,5,12593,22790,5,14074,24265,5,13953,24383
432,4,12161,22158,4,12258,22128,4,13073,23234,4,13290,23328
433,5,12174,22172,5,12272,22146,5,13086,23253,5,13296,23353
434,4,12196,22338,4,12351,22308,4,13050,23340,4,13319,23444
435,4,12234,22424,4,12395,22394,4,13082,23416,4,13355,23520
436,5,12137,22098,5,12235,22072,5,13049,23179,5,13259,23279
437,6,12642,22484,6,12436,22472,6,13866,23932,6,13764,24026
438,6,12933,22782,6,12595,22790,6,14297,24386,6,14067,24518
439,6,12797,22794,6,12591,22782,6,14021,24242,6,13919,24336
440,5,12702,22716,5,12558,22720,5,13870,24093,5,13838,24225
441,4,12204,22270,4,12315,22240,4,13102,23330,4,13331,23424
442,6,12896,22804,6,12599,22796,6,14212,24356,6,14019,24462
443,4,12212,22286,4,12323,22256,4,13110,23346,4,13339,23440
444,4,12295,22426,4,12392,22396,4,13207,23502,4,13424,23596
445,4,11811,21578,4,11972,21548,4,12659,22570,4,12932,22674
446,6,12922,22856,6,12630,22858,6,14238,24408,6,14050,24526
447,5,12798,22746,5,12568,22740,5,14048,24213,5,13928,24333
448,5,12759,22668,5,12532,22668,5,14009,24135,5,13892,24261
449,4,12019,21984,4,12174,21954,4,12873,22986,4,13142,23090
450,6,12667,22534,6,12461,22522,6,13891,23982,6,13789,24076
451,5,12689,22690,5,12545,22694,5,13857,24067,5,13825,24199
452,6,12886,22784,6,12594,22786,6,14202,24336,6,14014,24452
453,4,12351,22538,4,12448,22508,4,13263,23614,4,13480,23708
454,4,12179,22220,4,12290,22190,4,13077,23280,4,13306,23374
455,5,12542,22396,5,12398,22400,5,13710,23773,5,13678,23905
456,4,12199,22260,4,12310,22230,4,13097,23322,4,13326,23414
457,4,12076,22108,4,12237,22078,4,12924,23100,4,13197,23204
458,6,12767,22546,6,12475,22548,6,14083,24098,6,13895,24214
459,4,12162,22280,4,12323,22250,4,13010,23272,4,13283,23376
460,6,12637,22474,6,12431,22462,6,13861,23920,6,13759,24016
461,5,12729,22608,5,12500,22604,5,13979,24075,5,13860,24197
462,5,12811,22772,5,12584,22772,5,14061,24239,5,13944,24365
463,6,12943,22898,6,12646,22890,6,14259,24450,6,14066,24558
464,4,12320,22276,4,12334,22264,4,13324,23452,4,13438,23552
465,4,12006,21958,4,12161,21928,4,12860,22960,4,13129,23064
466,4,12132,22220,4,12293,22190,4,12980,23212,4,13253,23316
467,5,11991,21806,5,12089,21780,5,12903,22887,5,13113,22987
468,5,12669,22650,5,12525,22654,5,13837,24027,5,13805,24159
469,6,12898,22808,6,12601,22800,6,14214,24360,6,14021,24466
470,4,12074,22104,4,12235,22074,4,12922,23096,4,13195,23200
471,4,12019,21984,4,12174,21954,4,12873,22986,4,13142,23090
472,4,12269,22374,4,12366,22344,4,13181,23450,4,13398,23544
473,4,11839,21634,4,12000,21604,4,12687,22626,4,12960,22730
474,5,12601,22514,5,12457,22518,5,13769,23891,5,13737,24023
475,6,12868,22748,6,12577,22752,6,14184,24300,6,13997,24420
476,4,11896,21748,4,12057,21718,4,12744,22740,4,13017,22844
477,6,12801,22614,6,12512,22622,6,14117,24166,6,13932,24288
478,4,11944,21844,4,12105,21814,4,12792,22836,4,13065,22940
479,5,12591,22494,5,12447,22498,5,13759,23871,5,13727,24003
480,4,12318,22272,4,12332,22260,4,13322,23448,4,13436,23548
481,4,12222,22390,4,12377,22360,4,13076,23392,4,13345,23496
482,4,12185,22232,4,12296,22202,4,13083,23292,4,13312,23386
483,4,12296,22428,4,12393,22398,4,13208,23504,4,13425,23598
484,6,12858,22728,6,12567,22732,6,14174,24280,6,13987,24400
485,5,12548,22408,5,12404,22412,5,13716,23785,5,13684,23917
486,6,12926,22768,6,12589,22778,6,14290,24372,6,14061,24506
487,4,12353,22542,4,12450,22512,4,13265,23618,4,13482,23714
488,4,12383,22602,4,12480,22572,4,13295,23678,4,13512,23772
489,4,11876,21708,4,12037,21678,4,12724,22700,4,12997,22804
490,5,12811,22772,5,12581,22766,5,14061,24239,5,13941,24359
491,4,12223,22392,4,12378,22362,4,13077,23394,4,13346,23498
492,6,12878,22768,6,12582,22762,6,14194,24320,6,14002,24430
493,5,12807,22764,5,12579,22762,5,14057,24231,5,13939,24355
494,6,12898,22712,6,12560,22720,6,14262,24316,6,14032,24448
495,6,12931,22778,6,12594,22788,6,14295,24382,6,14066,24516
496,6,12641,22482,6,12435,22470,6,13865,23928,6,13763,24024
497,6,12862,22736,6,12567,22732,6,14178,24288,6,13987,24400
498,4,11765,21486,4,11926,21456,4,12613,22478,4,12886,22582
499,5,12655,22622,5,12511,22626,5,13823,23999,5,13791,24131
500,6,12802,22804,6,12596,22792,6,14026,24252,6,13924,24346
501,4,12240,22436,4,12401,22406,4,13088,23428,4,13361,23532
502,6,12891,22794,6,12600,22798,6,14207,24346,6,14020,24466
503,6,12961,22934,6,12669,22936,6,14277,24486,6,14089,24604
504,6,12887,22786,6,12590,22778,6,14203,24338,6,14010,24444
505,4,12067,22090,4,12228,22060,4,12915,23082,4,13188,23186
506,6,12775,22750,6,12569,22738,6,13999,24196,6,13897,24292
507,4,12131,22098,4,12228,22068,4,13043,23174,4,13260,23268
508,5,12823,22796,5,12593,22790,5,14073,24263,5,13953,24383
509,5,12741,22632,5,12513,22630,5,13991,24099,5,13873,24223
510,6,12847,22894,6,12641,22882,6,14071,24340,6,13969,24436
511,5,12144,22112,5,12242,22086,5,13056,23193,5,13266,23293
512,4,11765,21486,4,11926,21456,4,12613,22478,4,12886,22582
513,6,12776,22564,6,12487,22572,6,14092,24116,6,13907,24238
514,5,12730,22610,5,12500,22604,5,13980,24077,5,13860,24197
515,6,12809,22630,6,12515,22628,6,14125,24182,6,13935,24294
516,6,12928,22868,6,12634,22866,6,14244,24420,6,14054,24534
517,4,12230,22322,4,12341,22292,4,13128,23382,4,13357,23476
518,5,12711,22572,5,12483,22570,5,13961,24039,5,13843,24163
519,6,12883,22778,6,12586,22770,6,14199,24330,6,14006,24436
520,6,12787,22774,6,12581,22762,6,14011,24220,6,13909,24316
521,4,12184,22324,4,12345,22294,4,13032,23316,4,13305,23420
522,4,12339,22514,4,12436,22484,4,13251,23590,4,13468,23686
523,4,12073,22008,4,12184,21978,4,12971,23068,4,13200,23162
524,5,12752,22654,5,12523,22650,5,14002,24121,5,13883,24243
525,5,12538,22388,5,12394,22392,5,13706,23765,5,13674,23897
526,6,12833,22582,6,12499,22598,6,14197,24186,6,13971,24326
527,5,12716,22582,5,12487,22578,5,13966,24049,5,13847,24171
528,6,12605,22410,6,12399,22398,6,13829,23856,6,13727,23952
529,4,12307,22450,4,12404,22420,4,13219,23526,4,13436,23620
530,4,12182,22226,4,12293,22196,4,13080,23288,4,13309,23380
531,5,12138,22100,5,12236,22074,5,13050,23181,5,13260,23281
532,6,12886,22784,6,12589,22776,6,14202,24336,6,14009,24444
533,4,12261,22358,4,12358,22328,4,13173,23434,4,13390,23528
534,6,12941,22894,6,12648,22894,6,14257,24446,6,14068,24562
535,4,12227,22090,4,12241,22078,4,13231,23266,4,13345,23366
536,4,12193,22248,4,12304,22218,4,13091,23308,4,13320,23402
537,4,12193,22248,4,12304,22218,4,13091,23310,4,13320,23402
538,5,12825,22800,5,12595,22794,5,14075,24267,5,13955,24387
539,5,12817,22784,5,12587,22778,5,14067,24251,5,13947,24371
540,4,12182,22200,4,12279,22170,4,13094,23276,4,13311,23370
541,4,12175,22296,4,12330,22266,4,13029,23298,4,13298,23402
542,5,12153,22130,5,12251,22104,5,13065,23211,5,13275,23311
543,6,12939,22794,6,12605,22810,6,14303,24398,6,14077,24538
544,4,12061,21984,4,12172,21954,4,12959,23044,4,13188,23138
545,6,12962,22840,6,12629,22858,6,14326,24444,6,14101,24586
546,4,12227,22290,4,12324,22260,4,13139,23366,4,13356,23460
547,5,12744,22638,5,12514,22632,5,13994,24105,5,13874,24225
548,4,12109,22080,4,12220,22050,4,13007,23142,4,13236,23234
549,4,12068,21998,4,12179,21968,4,12966,23058,4,13195,23152
550,4,12248,22358,4,12359,22328,4,13146,23418,4,13375,23512
551,6,12957,22830,6,12618,22836,6,14321,24434,6,14090,24564
552,4,12077,22016,4,12188,21986,4,12975,23076,4,13204,23170
553,4,12340,22516,4,12437,22486,4,13252,23592,4,13469,23686
554,5,11974,21772,5,12072,21746,5,12886,22853,5,13096,22953
555,6,12709,22618,6,12503,22606,6,13933,24066,6,13831,24160
556,6,12812,22636,6,12523,22644,6,14128,24188,6,13943,24310
557,6,12757,22714,6,12551,22702,6,13981,24160,6,13879,24256
558,5,12533,22378,5,12389,22382,5,13701,23755,5,13669,23887
559,4,12077,22110,4,12238,22080,4,12925,23102,4,13198,23206
560,6,12779,22570,6,12488,22574,6,14095,24122,6,13908,24240
561,5,12118,22060,5,12216,22034,5,13030,23141,5,13240,23241
562,5,11976,21776,5,12074,21750,5,12888,22857,5,13098,22957
563,6,12769,22550,6,12476,22550,6,14085,24102,6,13896,24216
564,5,12149,22122,5,12247,22096,5,13061,23203,5,13271,23303
565,6,12858,22728,6,12569,22736,6,14174,24280,6,13989,24404
566,6,12804,22620,6,12515,22628,6,14120,24172,6,13935,24294
567,4,12028,22002,4,12183,21972,4,12882,23004,4,13151,23108
568,5,12599,22510,5,12455,22514,5,13767,23887,5,13735,24019
569,5,12155,22134,5,12253,22108,5,13067,23215,5,13277,23315
570,4,12208,22252,4,12305,22222,4,13120,23328,4,13337,23422
571,4,12017,21980,4,12172,21950,4,12871,22982,4,13140,23086
572,4,12140,22142,4,12251,22112,4,13038,23204,4,13267,23296
573,6,12706,22612,6,12500,22600,6,13930,24060,6,13828,24154
574,4,12181,22198,4,12278,22168,4,13093,23274,4,13310,23368
575,6,12903,22722,6,12569,22738,6,14267,24326,6,14041,24466
576,6,12823,22562,6,12486,22572,6,14187,24166,6,13958,24300
577,5,12545,22402,5,12401,22406,5,13713,23779,5,13681,23911
578,6,12865,22646,6,12528,22656,6,14229,24250,6,14000,24384
579,6,12949,22910,6,12656,22910,6,14265,24462,6,14076,24578
580,5,12022,21868,5,12120,21842,5,12934,22949,5,13144,23049
581,6,12763,22726,6,12557,22714,6,13987,24174,6,13885,24268
582,4,11940,21836,4,12101,21806,4,12788,22828,4,13061,22932
583,4,12168,22198,4,12279,22168,4,13066,23260,4,13295,23352
584,4,12227,22410,4,12388,22380,4,13075,23402,4,13348,23506
585,4,12188,22322,4,12343,22292,4,13042,23324,4,13311,23428
586,6,12743,22686,6,12537,22674,6,13967,24134,6,13865,24228
587,4,12220,22302,4,12331,22272,4,13118,23362,4,13347,23456
588,5,11992,21808,5,12090,21782,5,12904,22889,5,13114,22989
589,6,12917,22750,6,12580,22760,6,14281,24354,6,14052,24488
590,4,12189,22240,4,12300,22210,4,13087,23300,4,13316,23394
591,6,12812,22824,6,12606,22812,6,14036,24270,6,13934,24366
592,5,12685,22682,5,12541,22686,5,13853,24059,5,13821,24191
593,5,12134,22092,5,12232,22066,5,13046,23173,5,13256,23273
594,6,12824,22564,6,12491,22582,6,14188,24168,6,13963,24310
595,5,12826,22802,5,12596,22796,5,14076,24269,5,13956,24389
596,6,12869,22750,6,12580,22758,6,14185,24302,6,14000,24424
597,4,11976,21908,4,12137,21878,4,12824,22900,4,13097,23004
598,4,11833,21622,4,11994,21592,4,12681,22614,4,12954,22718
599,6,12769,22550,6,12476,22550,6,14085,24102,6,13896,24216
600,5,12111,22046,5,12209,22020,5,13023,23127,5,13233,23227
601,5,12572,22456,5,12428,22460,5,13740,23833,5,13708,23965
602,6,12936,22788,6,12599,22798,6,14300,24392,6,14071,24526
603,6,12953,22918,6,12656,22910,6,14269,24470,6,14076,24578
604,4,12275,22386,4,12372,22356,4,13187,23462,4,13404,23556
605,5,12124,22072,5,12222,22046,5,13036,23153,5,13246,23253
606,4,12066,22088,4,12227,22058,4,12914,23080,4,13187,23184
607,6,12845,22702,6,12555,22708,6,14161,24254,6,13975,24376
608,4,12223,22282,4,12320,22252,4,13135,23358,4,13352,23454
609,4,11863,21672,4,12018,21642,4,12717,22674,4,12986,22778
610,6,12794,22788,6,12588,22776,6,14018,24234,6,13916,24330
611,4,12196,22228,4,12293,22198,4,13108,23304,4,13325,23398
612,6,12836,22684,6,12547,22692,6,14152,24236,6,13967,24358
613,6,12848,22708,6,12554,22706,6,14164,24260,6,13974,24372
614,4,12195,22252,4,12306,22222,4,13093,23312,4,13322,23406
615,4,12229,22094,4,12243,22082,4,13233,23270,4,13347,23370
616,6,12948,22812,6,12614,22828,6,14312,24416,6,14086,24556
617,6,12839,22690,6,12548,22694,6,14155,24242,6,13968,24362
618,4,11851,21648,4,12006,21618,4,12705,22650,4,12974,22754
619,4,12234,22304,4,12331,22274,4,13146,23380,4,13363,23474
620,4,12138,22138,4,12249,22108,4,13036,23198,4,13265,23292
621,6,12914,22744,6,12579,22758,6,14278,24348,6,14051,24486
622,4,11878,21702,4,12033,21672,4,12732,22704,4,13001,22808
623,5,12156,22136,5,12254,22110,5,13068,23217,5,13278,23317
624,4,12108,22078,4,12219,22048,4,13006,23138,4,13235,23232
625,6,12869,22654,6,12532,22664,6,14233,24258,6,14004,24392
626,4,11949,21854,4,12110,21824,4,12797,22846,4,13070,22950
627,4,12188,22212,4,12285,22182,4,13100,23288,4,13317,23384
628,4,12062,22080,4,12223,22050,4,12910,23072,4,13183,23176
629,6,12861,22638,6,12523,22646,6,14225,24242,6,13995,24374
630,5,12152,22128,5,12250,22102,5,13064,23209,5,13274,23309
631,6,12768,22736,6,12562,22724,6,13992,24184,6,13890,24278
632,4,11869,21694,4,12030,21664,4,12717,22686,4,12990,22790
633,6,12918,22848,6,12621,22840,6,14234,24400,6,14041,24506
634,6,12830,22860,6,12624,22848,6,14054,24306,6,13952,24402
635,4,12204,22354,4,12359,22324,4,13058,23356,4,13327,23460
636,4,12217,22296,4,12328,22266,4,13115,23356,4,13344,23450
637,4,11847,21640,4,12002,21610,4,12701,22642,4,12970,22746
638,6,12803,22618,6,12511,22620,6,14119,24170,6,13931,24288
639,4,12176,22188,4,12273,22158,4,13088,23264,4,13305,23358
640,4,12275,22386,4,12372,22356,4,13187,23462,4,13404,23556
641,5,12780,22710,5,12551,22706,5,14030,24177,5,13911,24299
642,4,12017,21980,4,12172,21950,4,12871,22982,4,13140,23086
643,4,12218,22298,4,12329,22268,4,13116,23358,4,13345,23452
644,5,12134,22092,5,12232,22066,5,13046,23173,5,13256,23273
645,5,12014,21852,5,12112,21826,5,12926,22933,5,13136,23033
646,4,12238,22312,4,12335,22282,4,13150,23388,4,13367,23484
647,6,12909,22830,6,12614,22826,6,14225,24382,6,14034,24492
648,4,12197,22256,4,12308,22226,4,13095,23316,4,13324,23410
649,4,12088,22038,4,12199,22008,4,12986,23098,4,13215,23192
650,6,12908,22828,6,12611,22820,6,14224,24380,6,14031,24486
651,6,12818,22836,6,12612,22824,6,14042,24284,6,13940,24378
652,4,12402,22640,4,12499,22610,4,13314,23716,4,13531,23812
653,6,12955,22826,6,12621,22842,6,14319,24430,6,14093,24570
654,4,11958,21872,4,12119,21842,4,12806,22864,4,13079,22968
655,4,12192,22246,4,12303,22216,4,13090,23306,4,13319,23400
656,6,12933,22782,6,12599,22798,6,14297,24386,6,14071,24526
657,6,12846,22704,6,12557,22712,6,14162,24256,6,13977,24378
658,5,12143,22110,5,12241,22084,5,13055,23191,5,13265,23291
659,4,12080,22116,4,12241,22086,4,12928,23108,4,13201,23212
660,4,12234,22330,4,12345,22300,4,13132,23390,4,13361,23484
661,4,12176,22188,4,12273,22158,4,13088,23264,4,13305,23358
662,6,12757,22714,6,12551,22702,6,13981,24162,6,13879,24256
663,4,12034,22014,4,12189,21984,4,12888,23016,4,13157,23120
664,6,12860,22732,6,12568,22734,6,14176,24284,6,13988,24402
665,4,12240,22116,4,12254,22104,4,13244,23292,4,13358,23392
666,6,12664,22528,6,12458,22516,6,13888,23974,6,13786,24070
667,6,12706,22612,6,12500,22600,6,13930,24060,6,13828,24154
668,6,12864,22740,6,12569,22736,6,14180,24292,6,13989,24402
669,4,12211,22284,4,12322,22254,4,13109,23344,4,13338,23438
670,5,12786,22722,5,12558,22720,5,14036,24189,5,13918,24313
671,4,11859,21674,4,12020,21644,4,12707,22666,4,12980,22770
672,5,12588,22488,5,12444,22492,5,13756,23865,5,13724,23997
673,4,11842,21630,4,11997,21600,4,12696,22632,4,12965,22736
674,5,12592,22496,5,12448,22500,5,13760,23873,5,13728,24005
675,4,12153,22262,4,12314,22232,4,13001,23254,4,13274,23358
676,4,12332,22500,4,12429,22470,4,13244,23576,4,13461,23670
677,6,12906,22728,6,12570,22740,6,14270,24332,6,14042,24468
678,6,12937,22790,6,12598,22796,6,14301,24394,6,14070,24524
679,4,12367,22570,4,12464,22540,4,13279,23646,4,13496,23742
680,4,12196,22338,4,12351,22308,4,13050,23340,4,13319,23444
681,6,12839,22594,6,12505,22610,6,14203,24198,6,13977,24338
682,6,12899,22714,6,12560,22720,6,14263,24318,6,14032,24448
683,5,12709,22568,5,12481,22566,5,13959,24035,5,13841,24159
684,5,12003,21830,5,12101,21804,5,12915,22911,5,13125,23011
685,5,11978,21780,5,12076,21754,5,12890,22861,5,13100,22961
686,6,12775,22562,6,12484,22566,6,14091,24114,6,13904,24232
687,4,12211,22378,4,12372,22348,4,13059,23370,4,13332,23474
688,6,12696,22592,6,12490,22580,6,13920,24040,6,13818,24134
689,4,12258,22378,4,12369,22348,4,13156,23438,4,13385,23532
690,6,12789,22778,6,12583,22766,6,14013,24226,6,13911,24320
691,6,12768,22548,6,12475,22548,6,14084,24100,6,13895,24214
692,4,11866,21688,4,12027,21658,4,12714,22680,4,12987,22784
693,4,12387,22610,4,12484,22580,4,13299,23686,4,13516,23780
694,4,12220,22302,4,12331,22272,4,13118,23364,4,13347,23456
695,4,12194,22334,4,12349,22304,4,13048,23336,4,13317,23440
696,4,11855,21656,4,12010,21626,4,12709,22658,4,12978,22762
697,6,12909,22830,6,12614,22826,6,14225,24382,6,14034,24492
698,4,12297,22430,4,12394,22400,4,13209,23506,4,13426,23600
699,5,12580,22472,5,12436,22476,5,13748,23849,5,13716,23981
700,4,11940,21836,4,12101,21806,4,12788,22828,4,13061,22932
701,4,12282,22400,4,12379,22370,4,13194,23476,4,13411,23570
702,6,12926,22864,6,12629,22856,6,14242,24416,6,14049,24524
703,4,12307,22250,4,12321,22238,4,13311,23426,4,13425,23526
704,6,12896,22708,6,12560,22720,6,14260,24312,6,14032,24448
705,5,12745,22640,5,12515,22634,5,13995,24107,5,13875,24227
706,6,12915,22746,6,12579,22758,6,14279,24350,6,14051,24486
707,6,12960,22836,6,12627,22854,6,14324,24440,6,14099,24582
708,6,12759,22530,6,12470,22538,6,14075,24082,6,13890,24204
709,6,12733,22666,6,12527,22654,6,13957,24112,6,13855,24208
710,5,12846,22842,5,12615,22834,5,14096,24309,5,13975,24427
711,6,12806,22812,6,12600,22800,6,14030,24258,6,13928,24354
712,5,12114,22052,5,12212,22026,5,13026,23133,5,13236,23233
713,4,12052,22050,4,12207,22020,4,12906,23052,4,13175,23156
714,6,12775,22750,6,12569,22738,6,13999,24198,6,13897,24292
715,5,12813,22776,5,12584,22772,5,14063,24243,5,13944,24365
716,4,11993,21932,4,12148,21902,4,12847,22934,4,13116,23038
717,4,12246,22328,4,12343,22298,4,13158,23404,4,13375,23500
718,6,12804,22808,6,12598,22796,6,14028,24256,6,13926,24350
719,6,12676,22552,6,12470,22540,6,13900,24000,6,13798,24094
720,6,12620,22440,6,12414,22428,6,13844,23886,6,13742,23982
721,5,12814,22778,5,12583,22770,5,14064,24245,5,13943,24363
722,4,12301,22438,4,12398,22408,4,13213,23514,4,13430,23608
723,6,12872,22756,6,12575,22748,6,14188,24308,6,13995,24414
724,5,12826,22802,5,12596,22796,5,14076,24269,5,13956,24389
725,5,12787,22724,5,12560,22724,5,14037,24191,5,13920,24317
726,6,12913,22838,6,12618,22834,6,14229,24390,6,14038,24500
727,4,11763,21482,4,11924,21452,4,12611,22474,4,12884,22578
728,4,12324,22484,4,12421,22454,4,13236,23560,4,13453,23656
729,6,12844,22700,6,12553,22704,6,14160,24252,6,13973,24372
730,5,12793,22736,5,12566,22736,5,14043,24203,5,13926,24329
731,6,12656,22512,6,12450,22500,6,13880,23960,6,13778,24054
732,6,12888,22788,6,12596,22790,6,14204,24340,6,14016,24456
733,4,12113,22182,4,12274,22152,4,12961,23174,4,13234,23278
734,6,12831,22674,6,12538,22674,6,14147,24226,6,13958,24340
735,4,12017,21980,4,12172,21950,4,12871,22982,4,13140,23086
736,6,12873,22758,6,12576,22750,6,14189,24310,6,13996,24416
737,5,12591,22494,5,12447,22498,5,13759,23871,5,13727,24003
738,5,12847,22844,5,12619,22842,5,14097,24311,5,13979,24435
739,4,12161,22278,4,12322,22248,4,13009,23270,4,13282,23374
740,4,12322,22480,4,12419,22450,4,13234,23556,4,13451,23650
741,4,12201,22264,4,12312,22234,4,13099,23326,4,13328,23418
742,5,12109,22042,5,12207,22016,5,13021,23123,5,13231,23223
743,4,11890,21736,4,12051,21706,4,12738,22728,4,13011,22832
744,4,12165,22286,4,12326,22256,4,13013,23278,4,13286,23382
745,6,12957,22830,6,12618,22836,6,14321,24434,6,14090,24564
746,6,12925,22862,6,12629,22856,6,14241,24414,6,14049,24524
747,5,12647,22606,5,12503,22610,5,13815,23983,5,13783,24115
748,5,12111,22046,5,12209,22020,5,13023,23127,5,13233,23227
749,4,12229,22294,4,12326,22264,4,13141,23370,4,13358,23464
750,4,12273,22382,4,12370,22352,4,13185,23458,4,13402,23552
751,6,12826,22664,6,12535,22668,6,14142,24216,6,13955,24336
752,6,12900,22716,6,12563,22726,6,14264,24320,6,14035,24454
753,4,12236,22334,4,12347,22304,4,13134,23394,4,13363,23488
754,4,11867,21690,4,12028,21660,4,12715,22682,4,12988,22786
755,6,12619,22438,6,12413,22426,6,13843,23886,6,13741,23980
756,4,12064,22074,4,12219,22044,4,12918,23076,4,13187,23180
757,4,12349,22534,4,12446,22504,4,13261,23610,4,13478,23704
758,4,12226,22314,4,12337,22284,4,13124,23374,4,13353,23468
759,6,12862,22736,6,12566,22730,6,14178,24288,6,13986,24398
760,6,12905,22822,6,12608,22814,6,14221,24374,6,14028,24480
761,4,12414,22664,4,12511,22634,4,13326,23740,4,13543,23834
762,4,12210,22282,4,12321,22252,4,13108,23342,4,13337,23436
763,6,12821,22558,6,12487,22574,6,14185,24162,6,13959,24302
764,5,12767,22684,5,12536,22676,5,14017,24151,5,13896,24269
765,4,12265,22366,4,12362,22336,4,13177,23442,4,13394,23536
766,4,11828,21612,4,11989,21582,4,12676,22604,4,12949,22708
767,4,12161,22184,4,12272,22154,4,13059,23244,4,13288,23338
768,6,12805,22622,6,12516,22630,6,14121,24174,6,13936,24296
769,4,12203,22242,4,12300,22212,4,13115,23318,4,13332,23412
770,4,11760,21476,4,11921,21446,4,12608,22468,4,12881,22572
771,6,12701,22602,6,12495,22590,6,13925,24050,6,13823,24144
772,6,12873,22758,6,12581,22760,6,14189,24310,6,14001,24426
773,6,12862,22736,6,12565,22728,6,14178,24288,6,13985,24396
774,5,12173,22170,5,12271,22144,5,13085,23251,5,13295,23351
775,4,12194,22224,4,12291,22194,4,13106,23300,4,13323,23396
776,6,12864,22740,6,12571,22740,6,14180,24292,6,13991,24408
777,6,12644,22488,6,12438,22476,6,13868,23934,6,13766,24030
778,5,12727,22604,5,12498,22600,5,13977,24071,5,13858,24193
779,4,12165,22192,4,12276,22162,4,13063,23252,4,13292,23346
