0,4,26696,46734
1,4,13199,23160
2,5,13239,23239
3,5,13727,24003
4,4,13440,23628
5,5,13947,24371
6,6,14084,24552
7,5,13727,24003
8,4,13399,23546
9,5,13074,22909
10,4,13212,23186
11,5,13222,23205
12,4,13305,23360
13,6,14079,24542
14,6,13788,24074
15,4,13438,23624
16,6,13990,24404
17,5,13956,24389
18,5,13258,23277
19,6,13774,24046
20,4,13069,22948
21,6,13808,24114
22,5,13713,23975
23,5,13841,24159
24,5,13977,24431
25,4,13431,23610
26,4,13293,23396
27,4,13189,23188
28,5,13662,23873
29,4,13356,23388
30,5,13877,24231
31,5,13946,24369
32,6,13998,24420
33,4,13380,23508
34,4,13276,23314
35,6,13986,24398
36,4,13048,22906
37,6,13875,24174
38,6,14016,24456
39,4,13356,23460
40,6,13954,24334
41,6,14112,24608
42,6,14035,24494
43,4,13347,23444
44,6,13872,24242
45,4,12963,22732
46,6,14024,24432
47,6,13819,24136
48,4,13436,23620
49,6,13989,24404
50,4,13363,23402
51,6,13958,24342
52,5,13674,23897
53,4,13429,23534
54,4,13539,23826
55,4,13465,23678
56,4,13335,23418
57,5,13106,22973
58,4,13396,23554
59,6,13982,24390
60,4,13359,23480
61,4,12923,22656
62,5,13256,23273
63,4,13195,23152
64,4,12924,22658
65,4,12946,22702
66,4,12986,22782
67,4,13259,23280
68,4,13437,23550
69,5,13958,24393
70,6,13743,23984
71,4,13410,23568
72,6,14000,24426
73,6,13747,23992
74,4,13310,23382
75,4,13309,23380
76,6,14050,24484
77,5,13722,23993
78,4,13357,23524
79,6,13991,24406
80,5,13962,24401
81,4,13437,23550
82,4,13316,23438
83,6,13831,24160
84,4,13281,23372
85,6,13992,24410
86,5,13223,23207
87,4,13173,23108
88,4,13271,23290
89,4,13524,23796
90,5,13970,24417
91,6,13999,24382
92,6,14065,24514
93,5,13261,23283
94,4,13240,23242
95,6,14004,24434
96,6,13993,24410
97,4,13391,23530
98,6,13985,24394
99,6,14053,24490
100,4,13336,23434
101,5,13230,23221
