sudoku,split,dp_call,literal_iteration,literal_search
400,fifo,18,0,0
400,fifo_reversed,18,0,0
400,fifo_negative_only,18,0,0
400,fifo_positive_only,18,0,0
400,dlcs,18,0,0
400,dlcs_reversed,18,0,0
400,dlcs_negative_only,18,0,0
400,dlcs_positive_only,18,0,0
400,dlis,18,0,0
400,dlis_reversed,18,0,0
400,dlis_negative_only,18,0,0
400,dlis_positive_only,18,0,0
401,fifo,10001,0,0
401,fifo_reversed,36,0,0
401,fifo_negative_only,36,0,0
401,fifo_positive_only,10001,0,0
401,dlcs,10001,0,0
401,dlcs_reversed,10001,0,0
401,dlcs_negative_only,10001,0,0
401,dlcs_positive_only,10001,0,0
401,dlis,10001,0,0
401,dlis_reversed,10001,0,0
401,dlis_negative_only,10001,0,0
401,dlis_positive_only,10001,0,0
402,fifo,49,0,0
402,fifo_reversed,38,0,0
402,fifo_negative_only,38,0,0
402,fifo_positive_only,49,0,0
402,dlcs,10001,0,0
402,dlcs_reversed,57,0,0
402,dlcs_negative_only,57,0,0
402,dlcs_positive_only,10001,0,0
402,dlis,10001,0,0
402,dlis_reversed,10001,0,0
402,dlis_negative_only,10001,0,0
402,dlis_positive_only,10001,0,0
403,fifo,55,0,0
403,fifo_reversed,37,0,0
403,fifo_negative_only,37,0,0
403,fifo_positive_only,55,0,0
403,dlcs,10001,0,0
403,dlcs_reversed,37,0,0
403,dlcs_negative_only,37,0,0
403,dlcs_positive_only,10001,0,0
403,dlis,10001,0,0
403,dlis_reversed,10001,0,0
403,dlis_negative_only,10001,0,0
403,dlis_positive_only,10001,0,0
404,fifo,38,0,0
404,fifo_reversed,10001,0,0
404,fifo_negative_only,10001,0,0
404,fifo_positive_only,38,0,0
404,dlcs,10001,0,0
404,dlcs_reversed,10001,0,0
404,dlcs_negative_only,10001,0,0
404,dlcs_positive_only,10001,0,0
404,dlis,10001,0,0
404,dlis_reversed,10001,0,0
404,dlis_negative_only,10001,0,0
404,dlis_positive_only,10001,0,0
405,fifo,10001,0,0
405,fifo_reversed,66,0,0
405,fifo_negative_only,66,0,0
405,fifo_positive_only,10001,0,0
405,dlcs,10001,0,0
405,dlcs_reversed,10001,0,0
405,dlcs_negative_only,10001,0,0
405,dlcs_positive_only,10001,0,0
405,dlis,10001,0,0
405,dlis_reversed,10001,0,0
405,dlis_negative_only,10001,0,0
405,dlis_positive_only,10001,0,0
406,fifo,20,0,0
406,fifo_reversed,20,0,0
406,fifo_negative_only,20,0,0
406,fifo_positive_only,20,0,0
406,dlcs,20,0,0
406,dlcs_reversed,20,0,0
406,dlcs_negative_only,20,0,0
406,dlcs_positive_only,20,0,0
406,dlis,20,0,0
406,dlis_reversed,20,0,0
406,dlis_negative_only,20,0,0
406,dlis_positive_only,20,0,0
407,fifo,40,0,0
407,fifo_reversed,50,0,0
407,fifo_negative_only,50,0,0
407,fifo_positive_only,40,0,0
407,dlcs,10001,0,0
407,dlcs_reversed,37,0,0
407,dlcs_negative_only,37,0,0
407,dlcs_positive_only,10001,0,0
407,dlis,10001,0,0
407,dlis_reversed,10001,0,0
407,dlis_negative_only,10001,0,0
407,dlis_positive_only,10001,0,0
408,fifo,60,0,0
408,fifo_reversed,60,0,0
408,fifo_negative_only,60,0,0
408,fifo_positive_only,60,0,0
408,dlcs,10001,0,0
408,dlcs_reversed,92,0,0
408,dlcs_negative_only,92,0,0
408,dlcs_positive_only,10001,0,0
408,dlis,10001,0,0
408,dlis_reversed,10001,0,0
408,dlis_negative_only,10001,0,0
408,dlis_positive_only,10001,0,0
409,fifo,76,0,0
409,fifo_reversed,10001,0,0
409,fifo_negative_only,10001,0,0
409,fifo_positive_only,76,0,0
409,dlcs,10001,0,0
409,dlcs_reversed,10001,0,0
409,dlcs_negative_only,10001,0,0
409,dlcs_positive_only,10001,0,0
409,dlis,10001,0,0
409,dlis_reversed,10001,0,0
409,dlis_negative_only,10001,0,0
409,dlis_positive_only,10001,0,0
410,fifo,21,0,0
410,fifo_reversed,21,0,0
410,fifo_negative_only,21,0,0
410,fifo_positive_only,21,0,0
410,dlcs,21,0,0
410,dlcs_reversed,21,0,0
410,dlcs_negative_only,21,0,0
410,dlcs_positive_only,21,0,0
410,dlis,21,0,0
410,dlis_reversed,21,0,0
410,dlis_negative_only,21,0,0
410,dlis_positive_only,21,0,0
411,fifo,10001,0,0
411,fifo_reversed,54,0,0
411,fifo_negative_only,54,0,0
411,fifo_positive_only,10001,0,0
411,dlcs,10001,0,0
411,dlcs_reversed,10001,0,0
411,dlcs_negative_only,10001,0,0
411,dlcs_positive_only,10001,0,0
411,dlis,10001,0,0
411,dlis_reversed,10001,0,0
411,dlis_negative_only,10001,0,0
411,dlis_positive_only,10001,0,0
412,fifo,35,0,0
412,fifo_reversed,42,0,0
412,fifo_negative_only,42,0,0
412,fifo_positive_only,35,0,0
412,dlcs,1099,0,0
412,dlcs_reversed,40,0,0
412,dlcs_negative_only,40,0,0
412,dlcs_positive_only,570,0,0
412,dlis,2156,0,0
412,dlis_reversed,2156,0,0
412,dlis_negative_only,1099,0,0
412,dlis_positive_only,1099,0,0
413,fifo,10001,0,0
413,fifo_reversed,47,0,0
413,fifo_negative_only,47,0,0
413,fifo_positive_only,10001,0,0
413,dlcs,10001,0,0
413,dlcs_reversed,10001,0,0
413,dlcs_negative_only,10001,0,0
413,dlcs_positive_only,10001,0,0
413,dlis,10001,0,0
413,dlis_reversed,10001,0,0
413,dlis_negative_only,10001,0,0
413,dlis_positive_only,10001,0,0
414,fifo,10001,0,0
414,fifo_reversed,45,0,0
414,fifo_negative_only,45,0,0
414,fifo_positive_only,10001,0,0
414,dlcs,10001,0,0
414,dlcs_reversed,92,0,0
414,dlcs_negative_only,92,0,0
414,dlcs_positive_only,10001,0,0
414,dlis,10001,0,0
414,dlis_reversed,10001,0,0
414,dlis_negative_only,10001,0,0
414,dlis_positive_only,10001,0,0
415,fifo,46,0,0
415,fifo_reversed,10001,0,0
415,fifo_negative_only,10001,0,0
415,fifo_positive_only,46,0,0
415,dlcs,10001,0,0
415,dlcs_reversed,75,0,0
415,dlcs_negative_only,75,0,0
415,dlcs_positive_only,10001,0,0
415,dlis,10001,0,0
415,dlis_reversed,10001,0,0
415,dlis_negative_only,10001,0,0
415,dlis_positive_only,10001,0,0
416,fifo,7973,0,0
416,fifo_reversed,34,0,0
416,fifo_negative_only,34,0,0
416,fifo_positive_only,7973,0,0
416,dlcs,10001,0,0
416,dlcs_reversed,979,0,0
416,dlcs_negative_only,532,0,0
416,dlcs_positive_only,10001,0,0
416,dlis,10001,0,0
416,dlis_reversed,10001,0,0
416,dlis_negative_only,10001,0,0
416,dlis_positive_only,10001,0,0
417,fifo,40,0,0
417,fifo_reversed,32,0,0
417,fifo_negative_only,32,0,0
417,fifo_positive_only,40,0,0
417,dlcs,10001,0,0
417,dlcs_reversed,62,0,0
417,dlcs_negative_only,62,0,0
417,dlcs_positive_only,10001,0,0
417,dlis,10001,0,0
417,dlis_reversed,10001,0,0
417,dlis_negative_only,10001,0,0
417,dlis_positive_only,10001,0,0
418,fifo,10001,0,0
418,fifo_reversed,52,0,0
418,fifo_negative_only,52,0,0
418,fifo_positive_only,10001,0,0
418,dlcs,10001,0,0
418,dlcs_reversed,10001,0,0
418,dlcs_negative_only,10001,0,0
418,dlcs_positive_only,10001,0,0
418,dlis,10001,0,0
418,dlis_reversed,10001,0,0
418,dlis_negative_only,10001,0,0
418,dlis_positive_only,10001,0,0
419,fifo,47,0,0
419,fifo_reversed,28,0,0
419,fifo_negative_only,28,0,0
419,fifo_positive_only,47,0,0
419,dlcs,10001,0,0
419,dlcs_reversed,75,0,0
419,dlcs_negative_only,75,0,0
419,dlcs_positive_only,10001,0,0
419,dlis,10001,0,0
419,dlis_reversed,10001,0,0
419,dlis_negative_only,10001,0,0
419,dlis_positive_only,10001,0,0
420,fifo,45,0,0
420,fifo_reversed,10001,0,0
420,fifo_negative_only,10001,0,0
420,fifo_positive_only,45,0,0
420,dlcs,10001,0,0
420,dlcs_reversed,68,0,0
420,dlcs_negative_only,68,0,0
