sudoku,split,dp_call,literal_iteration,literal_search
900,fifo,28,0,0
900,fifo_reversed,10001,0,0
900,fifo_negative_only,10001,0,0
900,fifo_positive_only,28,0,0
900,dlcs,10001,0,0
900,dlcs_reversed,893,0,0
900,dlcs_negative_only,518,0,0
900,dlcs_positive_only,10001,0,0
900,dlis,10001,0,0
900,dlis_reversed,10001,0,0
900,dlis_negative_only,10001,0,0
900,dlis_positive_only,10001,0,0
901,fifo,10001,0,0
901,fifo_reversed,10001,0,0
901,fifo_negative_only,10001,0,0
901,fifo_positive_only,10001,0,0
901,dlcs,10001,0,0
901,dlcs_reversed,34,0,0
901,dlcs_negative_only,34,0,0
901,dlcs_positive_only,10001,0,0
901,dlis,10001,0,0
901,dlis_reversed,10001,0,0
901,dlis_negative_only,10001,0,0
901,dlis_positive_only,10001,0,0
902,fifo,10001,0,0
902,fifo_reversed,68,0,0
902,fifo_negative_only,68,0,0
902,fifo_positive_only,10001,0,0
902,dlcs,10001,0,0
902,dlcs_reversed,99,0,0
902,dlcs_negative_only,99,0,0
902,dlcs_positive_only,10001,0,0
902,dlis,10001,0,0
902,dlis_reversed,10001,0,0
902,dlis_negative_only,10001,0,0
902,dlis_positive_only,10001,0,0
903,fifo,10001,0,0
903,fifo_reversed,10001,0,0
903,fifo_negative_only,10001,0,0
903,fifo_positive_only,10001,0,0
903,dlcs,10001,0,0
903,dlcs_reversed,10001,0,0
903,dlcs_negative_only,10001,0,0
903,dlcs_positive_only,10001,0,0
903,dlis,10001,0,0
903,dlis_reversed,10001,0,0
903,dlis_negative_only,10001,0,0
903,dlis_positive_only,10001,0,0
904,fifo,10001,0,0
904,fifo_reversed,80,0,0
904,fifo_negative_only,80,0,0
904,fifo_positive_only,10001,0,0
904,dlcs,10001,0,0
904,dlcs_reversed,10001,0,0
904,dlcs_negative_only,10001,0,0
904,dlcs_positive_only,10001,0,0
904,dlis,10001,0,0
904,dlis_reversed,10001,0,0
904,dlis_negative_only,10001,0,0
904,dlis_positive_only,10001,0,0
905,fifo,10001,0,0
905,fifo_reversed,31,0,0
905,fifo_negative_only,31,0,0
905,fifo_positive_only,10001,0,0
905,dlcs,10001,0,0
905,dlcs_reversed,10001,0,0
905,dlcs_negative_only,10001,0,0
905,dlcs_positive_only,10001,0,0
905,dlis,10001,0,0
905,dlis_reversed,10001,0,0
905,dlis_negative_only,10001,0,0
905,dlis_positive_only,10001,0,0
906,fifo,95,0,0
906,fifo_reversed,10001,0,0
906,fifo_negative_only,10001,0,0
906,fifo_positive_only,95,0,0
906,dlcs,10001,0,0
906,dlcs_reversed,10001,0,0
906,dlcs_negative_only,10001,0,0
906,dlcs_positive_only,10001,0,0
906,dlis,10001,0,0
906,dlis_reversed,10001,0,0
906,dlis_negative_only,10001,0,0
906,dlis_positive_only,10001,0,0
907,fifo,34,0,0
907,fifo_reversed,10001,0,0
907,fifo_negative_only,10001,0,0
907,fifo_positive_only,34,0,0
907,dlcs,10001,0,0
907,dlcs_reversed,10001,0,0
907,dlcs_negative_only,10001,0,0
907,dlcs_positive_only,10001,0,0
907,dlis,10001,0,0
907,dlis_reversed,10001,0,0
907,dlis_negative_only,10001,0,0
907,dlis_positive_only,10001,0,0
908,fifo,10001,0,0
908,fifo_reversed,39,0,0
908,fifo_negative_only,39,0,0
908,fifo_positive_only,10001,0,0
908,dlcs,10001,0,0
908,dlcs_reversed,28,0,0
908,dlcs_negative_only,28,0,0
908,dlcs_positive_only,10001,0,0
908,dlis,10001,0,0
908,dlis_reversed,10001,0,0
908,dlis_negative_only,10001,0,0
908,dlis_positive_only,10001,0,0
909,fifo,10001,0,0
909,fifo_reversed,10001,0,0
909,fifo_negative_only,10001,0,0
909,fifo_positive_only,10001,0,0
909,dlcs,10001,0,0
909,dlcs_reversed,39,0,0
909,dlcs_negative_only,39,0,0
909,dlcs_positive_only,10001,0,0
909,dlis,10001,0,0
909,dlis_reversed,10001,0,0
909,dlis_negative_only,10001,0,0
909,dlis_positive_only,10001,0,0
910,fifo,65,0,0
910,fifo_reversed,10001,0,0
910,fifo_negative_only,10001,0,0
910,fifo_positive_only,65,0,0
910,dlcs,10001,0,0
910,dlcs_reversed,46,0,0
910,dlcs_negative_only,46,0,0
910,dlcs_positive_only,10001,0,0
910,dlis,10001,0,0
910,dlis_reversed,10001,0,0
910,dlis_negative_only,10001,0,0
910,dlis_positive_only,10001,0,0
911,fifo,33,0,0
911,fifo_reversed,62,0,0
911,fifo_negative_only,62,0,0
911,fifo_positive_only,33,0,0
911,dlcs,10001,0,0
911,dlcs_reversed,23,0,0
911,dlcs_negative_only,23,0,0
911,dlcs_positive_only,10001,0,0
911,dlis,10001,0,0
911,dlis_reversed,10001,0,0
911,dlis_negative_only,10001,0,0
911,dlis_positive_only,10001,0,0
912,fifo,33,0,0
912,fifo_reversed,10001,0,0
912,fifo_negative_only,10001,0,0
912,fifo_positive_only,33,0,0
912,dlcs,10001,0,0
912,dlcs_reversed,48,0,0
912,dlcs_negative_only,48,0,0
912,dlcs_positive_only,10001,0,0
912,dlis,10001,0,0
912,dlis_reversed,10001,0,0
912,dlis_negative_only,10001,0,0
912,dlis_positive_only,10001,0,0
913,fifo,10001,0,0
913,fifo_reversed,10001,0,0
913,fifo_negative_only,10001,0,0
913,fifo_positive_only,10001,0,0
913,dlcs,10001,0,0
913,dlcs_reversed,79,0,0
913,dlcs_negative_only,79,0,0
913,dlcs_positive_only,10001,0,0
913,dlis,10001,0,0
913,dlis_reversed,10001,0,0
913,dlis_negative_only,10001,0,0
913,dlis_positive_only,10001,0,0
914,fifo,81,0,0
914,fifo_reversed,78,0,0
914,fifo_negative_only,78,0,0
914,fifo_positive_only,81,0,0
914,dlcs,10001,0,0
914,dlcs_reversed,38,0,0
914,dlcs_negative_only,38,0,0
914,dlcs_positive_only,10001,0,0
914,dlis,10001,0,0
914,dlis_reversed,10001,0,0
914,dlis_negative_only,10001,0,0
914,dlis_positive_only,10001,0,0
915,fifo,10001,0,0
915,fifo_reversed,10001,0,0
915,fifo_negative_only,10001,0,0
915,fifo_positive_only,10001,0,0
915,dlcs,10001,0,0
915,dlcs_reversed,10001,0,0
915,dlcs_negative_only,10001,0,0
915,dlcs_positive_only,10001,0,0
915,dlis,10001,0,0
915,dlis_reversed,10001,0,0
915,dlis_negative_only,10001,0,0
915,dlis_positive_only,10001,0,0
916,fifo,20,0,0
916,fifo_reversed,20,0,0
916,fifo_negative_only,20,0,0
916,fifo_positive_only,20,0,0
916,dlcs,20,0,0
916,dlcs_reversed,20,0,0
916,dlcs_negative_only,20,0,0
916,dlcs_positive_only,20,0,0
916,dlis,20,0,0
916,dlis_reversed,20,0,0
916,dlis_negative_only,20,0,0
916,dlis_positive_only,20,0,0
917,fifo,46,0,0
917,fifo_reversed,10001,0,0
917,fifo_negative_only,10001,0,0
917,fifo_positive_only,46,0,0
917,dlcs,10001,0,0
917,dlcs_reversed,32,0,0
917,dlcs_negative_only,32,0,0
917,dlcs_positive_only,10001,0,0
917,dlis,10001,0,0
917,dlis_reversed,10001,0,0
917,dlis_negative_only,10001,0,0
917,dlis_positive_only,10001,0,0
918,fifo,24,0,0
918,fifo_reversed,24,0,0
918,fifo_negative_only,24,0,0
918,fifo_positive_only,24,0,0
918,dlcs,24,0,0
918,dlcs_reversed,24,0,0
918,dlcs_negative_only,24,0,0
918,dlcs_positive_only,24,0,0
918,dlis,24,0,0
918,dlis_reversed,24,0,0
918,dlis_negative_only,24,0,0
918,dlis_positive_only,24,0,0
919,fifo,36,0,0
919,fifo_reversed,10001,0,0
919,fifo_negative_only,10001,0,0
919,fifo_positive_only,36,0,0
919,dlcs,10001,0,0
919,dlcs_reversed,177,0,0
919,dlcs_negative_only,177,0,0
919,dlcs_positive_only,10001,0,0
919,dlis,10001,0,0
919,dlis_reversed,10001,0,0
919,dlis_negative_only,10001,0,0
919,dlis_positive_only,10001,0,0
920,fifo,46,0,0
920,fifo_reversed,31,0,0
920,fifo_negative_only,31,0,0
920,fifo_positive_only,46,0,0
920,dlcs,10001,0,0
920,dlcs_reversed,4973,0,0
920,dlcs_negative_only,2542,0,0
920,dlcs_positive_only,10001,0,0
920,dlis,10001,0,0
920,dlis_reversed,10001,0,0
920,dlis_negative_only,10001,0,0
920,dlis_positive_only,10001,0,0
921,fifo,10001,0,0
921,fifo_reversed,59,0,0
921,fifo_negative_only,59,0,0
921,fifo_positive_only,10001,0,0
921,dlcs,10001,0,0
921,dlcs_reversed,10001,0,0
921,dlcs_negative_only,10001,0,0
921,dlcs_positive_only,10001,0,0
921,dlis,10001,0,0
921,dlis_reversed,10001,0,0
921,dlis_negative_only,10001,0,0
921,dlis_positive_only,10001,0,0
922,fifo,60,0,0
922,fifo_reversed,62,0,0
922,fifo_negative_only,62,0,0
922,fifo_positive_only,60,0,0
922,dlcs,10001,0,0
922,dlcs_reversed,54,0,0
922,dlcs_negative_only,54,0,0
922,dlcs_positive_only,10001,0,0
922,dlis,10001,0,0
922,dlis_reversed,10001,0,0
922,dlis_negative_only,10001,0,0
922,dlis_positive_only,10001,0,0
923,fifo,6760,0,0
923,fifo_reversed,10001,0,0
923,fifo_negative_only,10001,0,0
923,fifo_positive_only,6760,0,0
923,dlcs,10001,0,0
923,dlcs_reversed,10001,0,0
923,dlcs_negative_only,10001,0,0
923,dlcs_positive_only,10001,0,0
923,dlis,10001,0,0
923,dlis_reversed,10001,0,0
923,dlis_negative_only,10001,0,0
923,dlis_positive_only,10001,0,0
924,fifo,78,0,0
924,fifo_reversed,10001,0,0
924,fifo_negative_only,10001,0,0
924,fifo_positive_only,78,0,0
924,dlcs,10001,0,0
924,dlcs_reversed,68,0,0
924,dlcs_negative_only,68,0,0
924,dlcs_positive_only,10001,0,0
924,dlis,10001,0,0
924,dlis_reversed,10001,0,0
924,dlis_negative_only,10001,0,0
924,dlis_positive_only,10001,0,0
925,fifo,37,0,0
925,fifo_reversed,45,0,0
925,fifo_negative_only,45,0,0
925,fifo_positive_only,37,0,0
925,dlcs,10001,0,0
925,dlcs_reversed,39,0,0
925,dlcs_negative_only,39,0,0
925,dlcs_positive_only,10001,0,0
925,dlis,10001,0,0
925,dlis_reversed,10001,0,0
925,dlis_negative_only,10001,0,0
925,dlis_positive_only,10001,0,0
926,fifo,10001,0,0
926,fifo_reversed,48,0,0
926,fifo_negative_only,48,0,0
926,fifo_positive_only,10001,0,0
926,dlcs,10001,0,0
926,dlcs_reversed,73,0,0
926,dlcs_negative_only,73,0,0
926,dlcs_positive_only,10001,0,0
926,dlis,10001,0,0
926,dlis_reversed,10001,0,0
926,dlis_negative_only,10001,0,0
926,dlis_positive_only,10001,0,0
927,fifo,42,0,0
927,fifo_reversed,64,0,0
927,fifo_negative_only,64,0,0
927,fifo_positive_only,42,0,0
927,dlcs,10001,0,0
927,dlcs_reversed,62,0,0
927,dlcs_negative_only,62,0,0
927,dlcs_positive_only,10001,0,0
927,dlis,10001,0,0
927,dlis_reversed,10001,0,0
927,dlis_negative_only,10001,0,0
927,dlis_positive_only,10001,0,0
928,fifo,50,0,0
928,fifo_reversed,40,0,0
928,fifo_negative_only,40,0,0
928,fifo_positive_only,50,0,0
928,dlcs,10001,0,0
928,dlcs_reversed,10001,0,0
928,dlcs_negative_only,10001,0,0
928,dlcs_positive_only,10001,0,0
928,dlis,10001,0,0
928,dlis_reversed,10001,0,0
928,dlis_negative_only,10001,0,0
928,dlis_positive_only,10001,0,0
929,fifo,28,0,0
929,fifo_reversed,41,0,0
929,fifo_negative_only,41,0,0
929,fifo_positive_only,28,0,0
929,dlcs,10001,0,0
929,dlcs_reversed,73,0,0
929,dlcs_negative_only,73,0,0
929,dlcs_positive_only,6501,0,0
929,dlis,10001,0,0
929,dlis_reversed,10001,0,0
929,dlis_negative_only,10001,0,0
929,dlis_positive_only,10001,0,0
930,fifo,10001,0,0
930,fifo_reversed,10001,0,0
930,fifo_negative_only,10001,0,0
930,fifo_positive_only,10001,0,0
930,dlcs,10001,0,0
930,dlcs_reversed,10001,0,0
930,dlcs_negative_only,10001,0,0
930,dlcs_positive_only,10001,0,0
930,dlis,10001,0,0
930,dlis_reversed,10001,0,0
930,dlis_negative_only,10001,0,0
930,dlis_positive_only,10001,0,0
931,fifo,31,0,0
931,fifo_reversed,10001,0,0
931,fifo_negative_only,10001,0,0
931,fifo_positive_only,31,0,0
931,dlcs,10001,0,0
931,dlcs_reversed,52,0,0
931,dlcs_negative_only,52,0,0
931,dlcs_positive_only,10001,0,0
931,dlis,10001,0,0
931,dlis_reversed,10001,0,0
931,dlis_negative_only,10001,0,0
931,dlis_positive_only,10001,0,0
932,fifo,10001,0,0
932,fifo_reversed,68,0,0
932,fifo_negative_only,68,0,0
932,fifo_positive_only,10001,0,0
932,dlcs,10001,0,0
932,dlcs_reversed,508,0,0
932,dlcs_negative_only,302,0,0
932,dlcs_positive_only,10001,0,0
932,dlis,10001,0,0
932,dlis_reversed,10001,0,0
932,dlis_negative_only,10001,0,0
932,dlis_positive_only,10001,0,0
933,fifo,40,0,0
933,fifo_reversed,10001,0,0
933,fifo_negative_only,10001,0,0
933,fifo_positive_only,40,0,0
933,dlcs,10001,0,0
933,dlcs_reversed,10001,0,0
933,dlcs_negative_only,10001,0,0
933,dlcs_positive_only,10001,0,0
933,dlis,10001,0,0
933,dlis_reversed,10001,0,0
933,dlis_negative_only,10001,0,0
933,dlis_positive_only,10001,0,0
934,fifo,79,0,0
934,fifo_reversed,10001,0,0
934,fifo_negative_only,10001,0,0
934,fifo_positive_only,79,0,0
934,dlcs,10001,0,0
934,dlcs_reversed,10001,0,0
934,dlcs_negative_only,10001,0,0
934,dlcs_positive_only,10001,0,0
934,dlis,10001,0,0
934,dlis_reversed,10001,0,0
934,dlis_negative_only,10001,0,0
934,dlis_positive_only,10001,0,0
935,fifo,10001,0,0
935,fifo_reversed,46,0,0
935,fifo_negative_only,46,0,0
935,fifo_positive_only,10001,0,0
935,dlcs,10001,0,0
935,dlcs_reversed,10001,0,0
935,dlcs_negative_only,10001,0,0
935,dlcs_positive_only,10001,0,0
935,dlis,10001,0,0
935,dlis_reversed,10001,0,0
935,dlis_negative_only,10001,0,0
935,dlis_positive_only,10001,0,0
936,fifo,23,0,0
936,fifo_reversed,10001,0,0
936,fifo_negative_only,10001,0,0
936,fifo_positive_only,23,0,0
936,dlcs,10001,0,0
936,dlcs_reversed,73,0,0
936,dlcs_negative_only,73,0,0
936,dlcs_positive_only,10001,0,0
936,dlis,10001,0,0
936,dlis_reversed,10001,0,0
936,dlis_negative_only,10001,0,0
936,dlis_positive_only,10001,0,0
937,fifo,30,0,0
937,fifo_reversed,30,0,0
937,fifo_negative_only,30,0,0
937,fifo_positive_only,30,0,0
937,dlcs,30,0,0
937,dlcs_reversed,30,0,0
937,dlcs_negative_only,30,0,0
937,dlcs_positive_only,30,0,0
937,dlis,30,0,0
937,dlis_reversed,30,0,0
937,dlis_negative_only,30,0,0
937,dlis_positive_only,30,0,0
938,fifo,46,0,0
938,fifo_reversed,10001,0,0
