sudoku,split,dp_call,literal_iteration,literal_search
100,fifo,23,0,0
100,fifo_reversed,23,0,0
100,fifo_negative_only,23,0,0
100,fifo_positive_only,23,0,0
100,dlcs,23,0,0
100,dlcs_reversed,23,0,0
100,dlcs_negative_only,23,0,0
100,dlcs_positive_only,23,0,0
100,dlis,23,0,0
100,dlis_reversed,23,0,0
100,dlis_negative_only,23,0,0
100,dlis_positive_only,23,0,0
101,fifo,38,0,0
101,fifo_reversed,38,0,0
101,fifo_negative_only,38,0,0
101,fifo_positive_only,38,0,0
101,dlcs,38,0,0
101,dlcs_reversed,38,0,0
101,dlcs_negative_only,38,0,0
101,dlcs_positive_only,38,0,0
101,dlis,38,0,0
101,dlis_reversed,38,0,0
101,dlis_negative_only,38,0,0
101,dlis_positive_only,38,0,0
102,fifo,10001,0,0
102,fifo_reversed,35,0,0
102,fifo_negative_only,35,0,0
102,fifo_positive_only,10001,0,0
102,dlcs,10001,0,0
102,dlcs_reversed,9400,0,0
102,dlcs_negative_only,4842,0,0
102,dlcs_positive_only,10001,0,0
102,dlis,10001,0,0
102,dlis_reversed,10001,0,0
102,dlis_negative_only,10001,0,0
102,dlis_positive_only,10001,0,0
103,fifo,26,0,0
103,fifo_reversed,10001,0,0
103,fifo_negative_only,10001,0,0
103,fifo_positive_only,26,0,0
103,dlcs,10001,0,0
103,dlcs_reversed,53,0,0
103,dlcs_negative_only,53,0,0
103,dlcs_positive_only,10001,0,0
103,dlis,10001,0,0
103,dlis_reversed,10001,0,0
103,dlis_negative_only,10001,0,0
103,dlis_positive_only,10001,0,0
104,fifo,22,0,0
104,fifo_reversed,22,0,0
104,fifo_negative_only,22,0,0
104,fifo_positive_only,22,0,0
104,dlcs,22,0,0
104,dlcs_reversed,22,0,0
104,dlcs_negative_only,22,0,0
104,dlcs_positive_only,22,0,0
104,dlis,22,0,0
104,dlis_reversed,22,0,0
104,dlis_negative_only,22,0,0
104,dlis_positive_only,22,0,0
105,fifo,23,0,0
105,fifo_reversed,23,0,0
105,fifo_negative_only,23,0,0
105,fifo_positive_only,23,0,0
105,dlcs,23,0,0
105,dlcs_reversed,23,0,0
105,dlcs_negative_only,23,0,0
105,dlcs_positive_only,23,0,0
105,dlis,23,0,0
105,dlis_reversed,23,0,0
105,dlis_negative_only,23,0,0
105,dlis_positive_only,23,0,0
106,fifo,16,0,0
106,fifo_reversed,16,0,0
106,fifo_negative_only,16,0,0
106,fifo_positive_only,16,0,0
106,dlcs,16,0,0
106,dlcs_reversed,16,0,0
106,dlcs_negative_only,16,0,0
106,dlcs_positive_only,16,0,0
106,dlis,16,0,0
106,dlis_reversed,16,0,0
106,dlis_negative_only,16,0,0
106,dlis_positive_only,16,0,0
107,fifo,53,0,0
107,fifo_reversed,10001,0,0
107,fifo_negative_only,10001,0,0
107,fifo_positive_only,53,0,0
107,dlcs,10001,0,0
107,dlcs_reversed,10001,0,0
107,dlcs_negative_only,10001,0,0
107,dlcs_positive_only,10001,0,0
107,dlis,10001,0,0
107,dlis_reversed,10001,0,0
107,dlis_negative_only,10001,0,0
107,dlis_positive_only,10001,0,0
108,fifo,10001,0,0
108,fifo_reversed,44,0,0
108,fifo_negative_only,44,0,0
108,fifo_positive_only,10001,0,0
108,dlcs,10001,0,0
108,dlcs_reversed,10001,0,0
108,dlcs_negative_only,10001,0,0
108,dlcs_positive_only,10001,0,0
108,dlis,10001,0,0
108,dlis_reversed,10001,0,0
108,dlis_negative_only,10001,0,0
108,dlis_positive_only,10001,0,0
109,fifo,31,0,0
109,fifo_reversed,31,0,0
109,fifo_negative_only,31,0,0
109,fifo_positive_only,31,0,0
109,dlcs,31,0,0
109,dlcs_reversed,31,0,0
109,dlcs_negative_only,31,0,0
109,dlcs_positive_only,31,0,0
109,dlis,31,0,0
109,dlis_reversed,31,0,0
109,dlis_negative_only,31,0,0
109,dlis_positive_only,31,0,0
110,fifo,10001,0,0
110,fifo_reversed,40,0,0
110,fifo_negative_only,40,0,0
110,fifo_positive_only,10001,0,0
110,dlcs,10001,0,0
110,dlcs_reversed,1366,0,0
110,dlcs_negative_only,740,0,0
110,dlcs_positive_only,10001,0,0
110,dlis,10001,0,0
110,dlis_reversed,10001,0,0
110,dlis_negative_only,10001,0,0
110,dlis_positive_only,10001,0,0
111,fifo,28,0,0
111,fifo_reversed,28,0,0
111,fifo_negative_only,28,0,0
111,fifo_positive_only,28,0,0
111,dlcs,28,0,0
111,dlcs_reversed,28,0,0
111,dlcs_negative_only,28,0,0
111,dlcs_positive_only,28,0,0
111,dlis,28,0,0
111,dlis_reversed,28,0,0
111,dlis_negative_only,28,0,0
111,dlis_positive_only,28,0,0
112,fifo,54,0,0
112,fifo_reversed,40,0,0
112,fifo_negative_only,40,0,0
112,fifo_positive_only,54,0,0
112,dlcs,10001,0,0
112,dlcs_reversed,10001,0,0
112,dlcs_negative_only,10001,0,0
112,dlcs_positive_only,10001,0,0
112,dlis,10001,0,0
112,dlis_reversed,10001,0,0
112,dlis_negative_only,10001,0,0
112,dlis_positive_only,10001,0,0
113,fifo,38,0,0
113,fifo_reversed,38,0,0
113,fifo_negative_only,38,0,0
113,fifo_positive_only,38,0,0
113,dlcs,38,0,0
113,dlcs_reversed,38,0,0
113,dlcs_negative_only,38,0,0
113,dlcs_positive_only,38,0,0
113,dlis,38,0,0
113,dlis_reversed,38,0,0
113,dlis_negative_only,38,0,0
113,dlis_positive_only,38,0,0
114,fifo,10001,0,0
114,fifo_reversed,33,0,0
114,fifo_negative_only,33,0,0
114,fifo_positive_only,10001,0,0
114,dlcs,10001,0,0
114,dlcs_reversed,73,0,0
114,dlcs_negative_only,73,0,0
114,dlcs_positive_only,10001,0,0
114,dlis,10001,0,0
114,dlis_reversed,10001,0,0
114,dlis_negative_only,10001,0,0
114,dlis_positive_only,10001,0,0
115,fifo,32,0,0
115,fifo_reversed,42,0,0
115,fifo_negative_only,42,0,0
115,fifo_positive_only,32,0,0
115,dlcs,3902,0,0
115,dlcs_reversed,72,0,0
115,dlcs_negative_only,72,0,0
115,dlcs_positive_only,1980,0,0
115,dlis,7762,0,0
115,dlis_reversed,7762,0,0
115,dlis_negative_only,3902,0,0
115,dlis_positive_only,3902,0,0
116,fifo,36,0,0
116,fifo_reversed,39,0,0
116,fifo_negative_only,39,0,0
116,fifo_positive_only,36,0,0
116,dlcs,10001,0,0
116,dlcs_reversed,41,0,0
116,dlcs_negative_only,41,0,0
116,dlcs_positive_only,10001,0,0
116,dlis,10001,0,0
116,dlis_reversed,10001,0,0
116,dlis_negative_only,10001,0,0
116,dlis_positive_only,10001,0,0
117,fifo,31,0,0
117,fifo_reversed,31,0,0
117,fifo_negative_only,31,0,0
117,fifo_positive_only,31,0,0
117,dlcs,31,0,0
117,dlcs_reversed,31,0,0
117,dlcs_negative_only,31,0,0
117,dlcs_positive_only,31,0,0
117,dlis,31,0,0
117,dlis_reversed,31,0,0
117,dlis_negative_only,31,0,0
117,dlis_positive_only,31,0,0
118,fifo,10001,0,0
118,fifo_reversed,10001,0,0
118,fifo_negative_only,10001,0,0
118,fifo_positive_only,10001,0,0
118,dlcs,10001,0,0
118,dlcs_reversed,68,0,0
118,dlcs_negative_only,68,0,0
118,dlcs_positive_only,10001,0,0
118,dlis,10001,0,0
118,dlis_reversed,10001,0,0
118,dlis_negative_only,10001,0,0
118,dlis_positive_only,10001,0,0
119,fifo,45,0,0
119,fifo_reversed,50,0,0
119,fifo_negative_only,50,0,0
119,fifo_positive_only,45,0,0
119,dlcs,10001,0,0
119,dlcs_reversed,55,0,0
119,dlcs_negative_only,55,0,0
119,dlcs_positive_only,10001,0,0
119,dlis,10001,0,0
119,dlis_reversed,10001,0,0
119,dlis_negative_only,10001,0,0
119,dlis_positive_only,10001,0,0
120,fifo,10001,0,0
120,fifo_reversed,47,0,0
120,fifo_negative_only,47,0,0
120,fifo_positive_only,10001,0,0
120,dlcs,10001,0,0
120,dlcs_reversed,51,0,0
120,dlcs_negative_only,51,0,0
120,dlcs_positive_only,10001,0,0
120,dlis,10001,0,0
120,dlis_reversed,10001,0,0
120,dlis_negative_only,10001,0,0
120,dlis_positive_only,10001,0,0
121,fifo,46,0,0
121,fifo_reversed,10001,0,0
121,fifo_negative_only,10001,0,0
121,fifo_positive_only,46,0,0
121,dlcs,10001,0,0
121,dlcs_reversed,10001,0,0
121,dlcs_negative_only,10001,0,0
121,dlcs_positive_only,10001,0,0
121,dlis,10001,0,0
121,dlis_reversed,10001,0,0
121,dlis_negative_only,10001,0,0
121,dlis_positive_only,10001,0,0
122,fifo,10001,0,0
122,fifo_reversed,10001,0,0
122,fifo_negative_only,10001,0,0
122,fifo_positive_only,10001,0,0
122,dlcs,10001,0,0
122,dlcs_reversed,10001,0,0
122,dlcs_negative_only,10001,0,0
122,dlcs_positive_only,10001,0,0
122,dlis,10001,0,0
122,dlis_reversed,10001,0,0
122,dlis_negative_only,10001,0,0
122,dlis_positive_only,10001,0,0
123,fifo,49,0,0
123,fifo_reversed,27,0,0
123,fifo_negative_only,27,0,0
123,fifo_positive_only,49,0,0
123,dlcs,10001,0,0
123,dlcs_reversed,83,0,0
123,dlcs_negative_only,83,0,0
123,dlcs_positive_only,10001,0,0
123,dlis,10001,0,0
123,dlis_reversed,10001,0,0
123,dlis_negative_only,10001,0,0
123,dlis_positive_only,10001,0,0
124,fifo,22,0,0
124,fifo_reversed,10001,0,0
124,fifo_negative_only,10001,0,0
124,fifo_positive_only,22,0,0
124,dlcs,10001,0,0
124,dlcs_reversed,10001,0,0
124,dlcs_negative_only,10001,0,0
124,dlcs_positive_only,10001,0,0
124,dlis,10001,0,0
124,dlis_reversed,10001,0,0
124,dlis_negative_only,10001,0,0
124,dlis_positive_only,10001,0,0
125,fifo,62,0,0
125,fifo_reversed,10001,0,0
125,fifo_negative_only,10001,0,0
