sudoku,split,dp_call,literal_iteration,literal_search
700,fifo,38,0,0
700,fifo_reversed,10001,0,0
700,fifo_negative_only,10001,0,0
700,fifo_positive_only,38,0,0
700,dlcs,10001,0,0
700,dlcs_reversed,80,0,0
700,dlcs_negative_only,80,0,0
700,dlcs_positive_only,10001,0,0
700,dlis,10001,0,0
700,dlis_reversed,10001,0,0
700,dlis_negative_only,10001,0,0
700,dlis_positive_only,10001,0,0
701,fifo,10001,0,0
701,fifo_reversed,10001,0,0
701,fifo_negative_only,10001,0,0
701,fifo_positive_only,10001,0,0
701,dlcs,10001,0,0
701,dlcs_reversed,10001,0,0
701,dlcs_negative_only,10001,0,0
701,dlcs_positive_only,10001,0,0
701,dlis,10001,0,0
701,dlis_reversed,10001,0,0
701,dlis_negative_only,10001,0,0
701,dlis_positive_only,10001,0,0
702,fifo,49,0,0
702,fifo_reversed,74,0,0
702,fifo_negative_only,74,0,0
702,fifo_positive_only,49,0,0
702,dlcs,10001,0,0
702,dlcs_reversed,10001,0,0
702,dlcs_negative_only,10001,0,0
702,dlcs_positive_only,10001,0,0
702,dlis,10001,0,0
702,dlis_reversed,10001,0,0
702,dlis_negative_only,10001,0,0
702,dlis_positive_only,10001,0,0
703,fifo,24,0,0
703,fifo_reversed,10001,0,0
703,fifo_negative_only,10001,0,0
703,fifo_positive_only,24,0,0
703,dlcs,10001,0,0
703,dlcs_reversed,84,0,0
703,dlcs_negative_only,84,0,0
703,dlcs_positive_only,10001,0,0
703,dlis,10001,0,0
703,dlis_reversed,10001,0,0
703,dlis_negative_only,10001,0,0
703,dlis_positive_only,10001,0,0
704,fifo,10001,0,0
704,fifo_reversed,10001,0,0
704,fifo_negative_only,10001,0,0
704,fifo_positive_only,10001,0,0
704,dlcs,10001,0,0
704,dlcs_reversed,49,0,0
704,dlcs_negative_only,49,0,0
704,dlcs_positive_only,10001,0,0
704,dlis,10001,0,0
704,dlis_reversed,10001,0,0
704,dlis_negative_only,10001,0,0
704,dlis_positive_only,10001,0,0
705,fifo,3058,0,0
705,fifo_reversed,43,0,0
705,fifo_negative_only,43,0,0
705,fifo_positive_only,3058,0,0
