0,4,26247,46518
1,4,12970,23066
2,5,13029,23139
3,5,13759,23871
4,4,13223,23534
5,5,14065,24247
6,6,14314,24420
7,5,13759,23871
8,4,13182,23452
9,5,12864,22809
10,4,12983,23092
11,5,13012,23105
12,4,13088,23264
13,6,14307,24406
14,6,13890,23978
15,4,13221,23530
16,6,14179,24290
17,5,14077,24271
18,5,13048,23177
19,6,13876,23952
20,4,12796,22844
21,6,13910,24018
22,5,13745,23843
23,5,13958,24033
24,5,14094,24305
25,4,13214,23516
26,4,13020,23292
27,4,12916,23084
28,5,13694,23741
29,4,13242,23288
30,5,13997,24111
31,5,14064,24245
32,6,14186,24304
33,4,13163,23414
34,4,13047,23222
35,6,14173,24278
36,4,12775,22802
37,6,14063,24058
38,6,14209,24350
39,4,13139,23366
40,6,14141,24214
41,6,14336,24464
42,6,14228,24388
43,4,13130,23348
44,6,13974,24148
45,4,12694,22628
46,6,14254,24300
47,6,13921,24042
48,4,13219,23526
49,6,14176,24284
50,4,13249,23302
51,6,14143,24218
52,5,13706,23765
53,4,13315,23434
54,4,13322,23732
55,4,13248,23584
56,4,13118,23324
57,5,12896,22873
58,4,13167,23460
59,6,14169,24270
60,4,13130,23386
61,4,12650,22552
62,5,13046,23173
63,4,12966,23058
64,4,12651,22554
65,4,12673,22598
66,4,12713,22678
67,4,13030,23188
68,4,13323,23450
69,5,14078,24273
70,6,13845,23890
71,4,13193,23474
72,6,14186,24304
73,6,13849,23896
74,4,13081,23290
75,4,13080,23286
76,6,14278,24348
77,5,13754,23861
78,4,13084,23420
79,6,14179,24290
80,5,14082,24281
81,4,13323,23450
82,4,13047,23334
83,6,13933,24066
84,4,13008,23268
85,6,14179,24290
86,5,13013,23107
87,4,12944,23014
88,4,13054,23196
89,4,13307,23702
90,5,14089,24295
91,6,14231,24254
92,6,14295,24382
93,5,13051,23183
94,4,13011,23150
95,6,14197,24326
96,6,14182,24296
97,4,13174,23436
98,6,14173,24278
99,6,14283,24358
100,4,13107,23340
101,5,13020,23121
102,4,13061,23248
103,6,14177,24286
104,6,14151,24234
105,6,14185,24162
106,6,14333,24458
107,5,13076,23233
108,4,12691,22634
109,6,14198,24188
110,4,13021,23168
111,6,14224,24240
112,5,13765,23883
113,6,13834,23868
114,6,14171,24274
115,4,12644,22540
116,5,13056,23193
117,6,14182,24296
118,6,14246,24424
119,4,13085,23298
120,5,14058,24233
121,6,14252,24436
122,6,14304,24400
123,6,14262,24316
124,4,12914,23068
125,6,14140,24212
126,5,12885,22851
127,4,13164,23416
128,6,13989,24176
129,6,14142,24216
130,4,12999,23124
131,5,13762,23877
132,4,12952,23156
133,4,13072,23272
134,5,13032,23145
135,4,12980,23212
136,6,14163,24258
137,4,13227,23542
138,6,14201,24334
139,4,13091,23308
140,4,13060,23246
141,4,12732,22716
142,6,13964,24128
143,5,13059,23199
144,6,13861,23922
145,4,13053,23346
146,6,14068,24334
147,4,13205,23498
148,5,14038,24193
149,4,12983,23218
150,4,12936,22998
151,4,13110,23348
152,6,14018,24234
153,4,13076,23280
154,6,14173,24278
155,6,14261,24314
156,5,12913,22907
157,6,14189,24310
158,4,13232,23552
159,4,13085,23296
160,4,13062,23364
161,4,12954,23034
162,6,14200,24192
163,6,14260,24312
164,4,12939,23004
165,4,13058,23356
166,6,14257,24446
167,5,14014,24145
168,4,13198,23484
169,6,14285,24362
170,5,14066,24249
171,6,13860,23918
172,4,12972,23196
173,4,13009,23270
174,6,14249,24290
175,4,13066,23258
176,6,14178,24148
177,6,14204,24200
178,4,13088,23304
179,4,13027,23294
180,6,14251,24294
181,5,13699,23751
182,4,12974,23074
183,6,13983,24164
184,5,13065,23211
185,5,14034,24185
186,4,12653,22558
187,4,13183,23454
188,5,13043,23167
189,5,13041,23163
190,4,13122,23370
191,5,14037,24191
192,4,13181,23450
193,6,14240,24272
194,4,13058,23368
195,5,14041,24199
196,6,14288,24368
197,6,13971,24142
198,6,14274,24340
199,6,14095,24122
200,6,14165,24262
201,6,14215,24362
202,5,12897,22875
203,4,13074,23400
204,4,13105,23298
205,4,13281,23650
206,4,12664,22580
207,5,14092,24301
208,6,13999,24198
209,6,14233,24398
210,4,12734,22708
211,6,14186,24304
212,6,13914,24028
213,5,14047,24211
214,5,13036,23153
215,6,14151,24234
216,4,13144,23414
217,6,14152,24236
218,6,14192,24316
219,4,13098,23322
220,4,13078,23282
221,4,13199,23486
222,5,13761,23875
223,4,13123,23372
224,6,14276,24484
225,4,13068,23376
226,6,14318,24428
227,6,14180,24292
228,4,12999,23124
229,6,13898,23994
230,5,14000,24117
231,6,14231,24254
232,6,14223,24238
233,6,13898,23994
234,4,13232,23552
235,6,14069,24070
236,6,14195,24322
237,6,14019,24236
238,6,13912,24024
239,4,13145,23378
240,6,14259,24310
241,5,13059,23199
242,4,12985,23098
243,6,14310,24412
244,6,14304,24400
245,4,13158,23404
246,5,13984,24085
247,5,13080,23241
248,5,12873,22827
249,4,13206,23500
250,6,14084,24366
251,4,13151,23390
252,6,14176,24284
253,5,13761,23875
254,6,14218,24228
255,4,13177,23442
256,6,14166,24264
257,4,13123,23334
258,5,13037,23155
259,6,14190,24172
260,4,13190,23468
261,5,14087,24291
262,6,14158,24248
263,6,13998,24196
264,6,14129,24190
265,4,13075,23278
266,6,14186,24304
267,6,14303,24398
268,6,13925,24050
269,4,12994,23240
270,6,14253,24438
271,6,13864,23926
272,6,13964,24126
273,6,14322,24436
274,5,13039,23159
275,6,14235,24402
276,6,14322,24436
277,6,14118,24168
278,6,13931,24062
279,4,13039,23206
